cohort,biosample,assembly_accession,relative_path,sha256,bases,contigs,sketch_size
moller,SAMN03859793,GCA_026925155.1,data/moller_genome_benchmark/assemblies/SAMN03859793/GCA_026925155.1_PDT001527698.1_genomic.fna.gz,7904470ce6c9a82bfceddde06639fab3995f4c1694e50624b8580cfb55aa7fb6,2760136,295,2734
moller,SAMN03859794,GCA_026924835.1,data/moller_genome_benchmark/assemblies/SAMN03859794/GCA_026924835.1_PDT001527699.1_genomic.fna.gz,6603aa2a3a729558a26f3f5c646e3b849ff8ffa0bd350b25dbadf2129359c7f4,2733939,193,2713
moller,SAMN03859795,ERZ4168042,data/moller_genome_benchmark/ena_assemblies/SAMN03859795/SAMN03859795.contigs.fa.gz,8dd81a9af28363abf80188cbb05fbed00f7b2166b6f630cd3e6aa454ef83e399,2719493,293,2710
moller,SAMN03859796,ERZ9441966,data/moller_genome_benchmark/ena_assemblies/SAMN03859796/SAMN03859796.contigs.fa.gz,86563f15b88c558728cf71113bf5fc7f8a58532e315a2c5f3e07dff1cc79caac,2846041,162,2806
moller,SAMN03859797,ERZ9441972,data/moller_genome_benchmark/ena_assemblies/SAMN03859797/SAMN03859797.contigs.fa.gz,1932fcb86b0810abce3286cf90062d5f3eb8a51b9be5c30ffabe64aaf5f26d2d,2697745,239,2698
moller,SAMN03859798,ERZ9441971,data/moller_genome_benchmark/ena_assemblies/SAMN03859798/SAMN03859798.contigs.fa.gz,96ef2838609f3d362b3c0f0e23cfaf1b8e63aa082042722243e43d08560b4743,2802272,148,2801
moller,SAMN03859799,ERZ9441975,data/moller_genome_benchmark/ena_assemblies/SAMN03859799/SAMN03859799.contigs.fa.gz,8f2209fed26392e52f8aa091df4a2b2b89f967bcb15eed52ec84550bb49a8a3b,2704751,161,2713
moller,SAMN03859800,ERZ9441977,data/moller_genome_benchmark/ena_assemblies/SAMN03859800/SAMN03859800.contigs.fa.gz,1a0c40ebcc2d6736c58e3d0816503ff58372f3f760a6665ab4a0317e89d292ee,2878152,459,2829
moller,SAMN03859801,ERZ4168048,data/moller_genome_benchmark/ena_assemblies/SAMN03859801/SAMN03859801.contigs.fa.gz,90fd907e95a26566e2faed7004aabf2d59d705a87e59501b4e13fcd7d32d39b9,2749828,159,2741
moller,SAMN03859802,ERZ9441978,data/moller_genome_benchmark/ena_assemblies/SAMN03859802/SAMN03859802.contigs.fa.gz,c0c83ee728e43b057df49eb43b772f8f4eb68e47d10ea9aa9018014c057e2e62,2796878,133,2757
moller,SAMN03859803,ERZ4168049,data/moller_genome_benchmark/ena_assemblies/SAMN03859803/SAMN03859803.contigs.fa.gz,95b22c7ee5a18fa0a97b6941136992cbdc9d97723252e78c4e09ea96dc4f75b9,2751332,256,2744
moller,SAMN03859805,ERZ4168053,data/moller_genome_benchmark/ena_assemblies/SAMN03859805/SAMN03859805.contigs.fa.gz,5b93232f2db7425a37ba33263a87d27c232f65a983d142abcb9103b67f94ef76,2830696,126,2780
moller,SAMN03859806,ERZ9441980,data/moller_genome_benchmark/ena_assemblies/SAMN03859806/SAMN03859806.contigs.fa.gz,1724b7f2762ef16571a9b19eddacfeceb8d0c654e9ac67ca42f002ad49d4c156,2663972,387,2658
moller,SAMN03859807,ERZ4168055,data/moller_genome_benchmark/ena_assemblies/SAMN03859807/SAMN03859807.contigs.fa.gz,25150464e3c143abd2d24b36f0ba4f53c02b850bd389ddbba03a81cf19258e4a,2774663,232,2782
moller,SAMN03859808,GCA_026923295.1,data/moller_genome_benchmark/assemblies/SAMN03859808/GCA_026923295.1_PDT001527710.1_genomic.fna.gz,1f044b82480282525ed98eadc5a9bc73211453919a141e31690a784d404722dd,2752840,333,2674
moller,SAMN03859809,ERZ9441981,data/moller_genome_benchmark/ena_assemblies/SAMN03859809/SAMN03859809.contigs.fa.gz,5d10313a5e05a6fc2ba3b61d40b0b073d768509f2ca817fe695cee54ae4ed05e,3112345,458,2999
moller,SAMN03859813,ERZ4168064,data/moller_genome_benchmark/ena_assemblies/SAMN03859813/SAMN03859813.contigs.fa.gz,83112d2211f817f333b5013d8f746726f782a7a46ab228e6cc003393d9164fcd,2727382,380,2752
moller,SAMN03859814,ERZ4168062,data/moller_genome_benchmark/ena_assemblies/SAMN03859814/SAMN03859814.contigs.fa.gz,f7d9f534ec40b8c9f8b8aadbc05e7cf04d233a0fa5d696c44e27b4d076557340,2650997,240,2680
moller,SAMN03859815,ERZ9441983,data/moller_genome_benchmark/ena_assemblies/SAMN03859815/SAMN03859815.contigs.fa.gz,1f4381feabbbb9f14036976f27a67ecee229e67029a538ed5940c2def4b9fe10,2749450,300,2757
moller,SAMN03859816,GCA_026922815.1,data/moller_genome_benchmark/assemblies/SAMN03859816/GCA_026922815.1_PDT001527610.1_genomic.fna.gz,e50c085d7e5fc3e22504afca9b3ff58622825bf43e5a3b9ad01555c0c9631702,3105067,42,2836
moller,SAMN03859817,ERZ9441985,data/moller_genome_benchmark/ena_assemblies/SAMN03859817/SAMN03859817.contigs.fa.gz,5fb07b4646772b7401992bb7cbe4bc9572d97cc5b5fc337aa7f9da832ad35642,2833604,180,2772
moller,SAMN03859818,ERZ4168070,data/moller_genome_benchmark/ena_assemblies/SAMN03859818/SAMN03859818.contigs.fa.gz,e3bc8ce508ecf8f2d2db815297dc8ffc312c13839b2fa0919cdb3da171d1d2cb,2760524,147,2756
moller,SAMN03859819,ERZ4168069,data/moller_genome_benchmark/ena_assemblies/SAMN03859819/SAMN03859819.contigs.fa.gz,e0ad521e31c083b8e46808830bab3f20515ce79158e552db6632d60062df407e,2874163,377,2857
moller,SAMN03859820,ERZ9441986,data/moller_genome_benchmark/ena_assemblies/SAMN03859820/SAMN03859820.contigs.fa.gz,912ef65c4e0f116e4c5a61da2f6dcf4b60137b4b175f98fa45cdea52aa342dfe,2693554,166,2685
moller,SAMN03859821,ERZ4168072,data/moller_genome_benchmark/ena_assemblies/SAMN03859821/SAMN03859821.contigs.fa.gz,40ade2b3cd7af5e3165546e6b03d33a78a018540eb6abf205a6659b0fa83f1c1,2656919,189,2650
moller,SAMN03859824,ERZ9441989,data/moller_genome_benchmark/ena_assemblies/SAMN03859824/SAMN03859824.contigs.fa.gz,16564cc13d243ee6b392a82c417c277a9a8e82c36bc9d1cb4e95089de0f78385,2694959,467,2698
moller,SAMN03859826,ERZ9441992,data/moller_genome_benchmark/ena_assemblies/SAMN03859826/SAMN03859826.contigs.fa.gz,935cadc6aac1fa2a2c45bd939db19f9e59284d0884cec7f35b0f5e03dc1b809a,2684389,307,2677
moller,SAMN03859829,ERZ9441995,data/moller_genome_benchmark/ena_assemblies/SAMN03859829/SAMN03859829.contigs.fa.gz,6852eae497a8ee493903680dd250fa37ee17a7bdf1bafbdbac2dc746dfdb50e7,2687713,377,2637
moller,SAMN03859830,ERZ9441996,data/moller_genome_benchmark/ena_assemblies/SAMN03859830/SAMN03859830.contigs.fa.gz,49170e6be9f85a7049889bee560b9a7aa98edbc64ca2e3c7d85eac797bc3c64d,2681308,387,2668
moller,SAMN03859831,ERZ4168079,data/moller_genome_benchmark/ena_assemblies/SAMN03859831/SAMN03859831.contigs.fa.gz,ba2f45d89b3c0e0a08631cf83cd2734d221485886ef8692d9a880e0ed8416f27,2658289,436,2622
moller,SAMN03859833,ERZ9442001,data/moller_genome_benchmark/ena_assemblies/SAMN03859833/SAMN03859833.contigs.fa.gz,234a8dec250e0f1187cb2f7a099e2e8a9c71f86bf1366d36e8773a8594b8dcbe,2746190,373,2738
moller,SAMN03859838,GCA_026926095.1,data/moller_genome_benchmark/assemblies/SAMN03859838/GCA_026926095.1_PDT001527735.1_genomic.fna.gz,d894f6e1def0637b9ee8861468bdd220e89ea100c4c895cf85ee83911793714f,2920515,280,2886
moller,SAMN03859839,GCA_026920415.1,data/moller_genome_benchmark/assemblies/SAMN03859839/GCA_026920415.1_PDT001527624.1_genomic.fna.gz,3fb89dfeed16cd6ef56cb5970120e1a32869bd47edf3be0896b977bd5fc24188,2770733,163,2706
moller,SAMN03859840,GCA_026925555.1,data/moller_genome_benchmark/assemblies/SAMN03859840/GCA_026925555.1_PDT001527623.1_genomic.fna.gz,1cf20334237a48c373a0261f6feeea6be2d6b596d26b21f44504b2d93c167c72,2829541,91,2728
moller,SAMN04244164,GCA_026925035.1,data/moller_genome_benchmark/assemblies/SAMN04244164/GCA_026925035.1_PDT001527631.1_genomic.fna.gz,bc980fbfd277593dc19a7865f6e7a0283365d3d4bfccda27a9a9dd6f8fcd0c87,2663162,135,2651
moller,SAMN04244165,GCA_026925125.1,data/moller_genome_benchmark/assemblies/SAMN04244165/GCA_026925125.1_PDT001527630.1_genomic.fna.gz,3e5606b771ce64311b506fbf5bf1664731a6a5299863eabc7ed4602eb3bb736d,2871323,357,2832
moller,SAMN04244166,GCA_026920795.1,data/moller_genome_benchmark/assemblies/SAMN04244166/GCA_026920795.1_PDT001527629.1_genomic.fna.gz,506e8a79c4f86a514faa529bbf38f1fe74441a09f8cd1575c9736d080a73ad40,2772166,400,2724
moller,SAMN09847804,GCF_003720255.1,data/moller_genome_benchmark/assemblies/SAMN09847804/GCF_003720255.1_ASM372025v1_genomic.fna.gz,984d62cf77421a740e4e35a28991185cf9e36eedf8f007705b6173e634a49082,2788868,43,2753
moller,SAMN09847805,GCF_003720945.1,data/moller_genome_benchmark/assemblies/SAMN09847805/GCF_003720945.1_ASM372094v1_genomic.fna.gz,2c4ce813bdc0405b059a05eccd4b8918d58cb376c10ed86155fba104833f8e4b,2791081,31,2766
moller,SAMN09847806,GCF_003721095.1,data/moller_genome_benchmark/assemblies/SAMN09847806/GCF_003721095.1_ASM372109v1_genomic.fna.gz,da9161f2772af085d942c45dfc9aba2a53d9ea468545c8d7776bb933c9fa233e,2695371,47,2669
moller,SAMN09847807,GCF_003721055.1,data/moller_genome_benchmark/assemblies/SAMN09847807/GCF_003721055.1_ASM372105v1_genomic.fna.gz,f75de00e2bed600a3778b5c0ad5b103b2ea119e654d1b8ae828e0eb2ffe3658a,2741344,31,2742
moller,SAMN09847808,GCF_003721035.1,data/moller_genome_benchmark/assemblies/SAMN09847808/GCF_003721035.1_ASM372103v1_genomic.fna.gz,477823cdcf9c502f2e1556cf5a4fb5a28b24468b2c30aa531539b58736e0ab08,2702509,54,2681
moller,SAMN09847809,GCF_003721075.1,data/moller_genome_benchmark/assemblies/SAMN09847809/GCF_003721075.1_ASM372107v1_genomic.fna.gz,024780ef7791f2831b41ede505784862d9d377e84bd8a28fd74efcfb7ceed949,2742955,50,2712
moller,SAMN09847810,GCF_003720995.1,data/moller_genome_benchmark/assemblies/SAMN09847810/GCF_003720995.1_ASM372099v1_genomic.fna.gz,8edc9a3701753b6b3c041a1c4de1edccc99654a6d13f4cc6dcc5097fd0761ceb,2734154,32,2718
moller,SAMN09847811,GCF_003721005.1,data/moller_genome_benchmark/assemblies/SAMN09847811/GCF_003721005.1_ASM372100v1_genomic.fna.gz,973061622ec620f45d2a2a66d0e129f97ae3a2032d0b0f2f85a75daacd695348,2871626,72,2852
moller,SAMN09847812,GCF_003720975.1,data/moller_genome_benchmark/assemblies/SAMN09847812/GCF_003720975.1_ASM372097v1_genomic.fna.gz,56ba18b23673185e5be2194c9e248230514e0065491c3407063336ea843a28b3,2738552,61,2717
moller,SAMN09847813,GCF_003720935.1,data/moller_genome_benchmark/assemblies/SAMN09847813/GCF_003720935.1_ASM372093v1_genomic.fna.gz,7e07f8d9cb5dcca06562369907e949f3ace506118405a668ccbabba718b22a95,2737369,35,2721
moller,SAMN09847814,GCF_003720915.1,data/moller_genome_benchmark/assemblies/SAMN09847814/GCF_003720915.1_ASM372091v1_genomic.fna.gz,4839d630eb2fe9712542c150bee284ecdd37ef8595f5dff9ee25e11c062b7a75,2843748,80,2810
moller,SAMN09847815,GCF_003720885.1,data/moller_genome_benchmark/assemblies/SAMN09847815/GCF_003720885.1_ASM372088v1_genomic.fna.gz,a180be37d17cdbf114c912316fd5b7a19200fc558a4b6375fc4185359f67fc60,2656854,37,2625
moller,SAMN09847816,GCF_003720875.1,data/moller_genome_benchmark/assemblies/SAMN09847816/GCF_003720875.1_ASM372087v1_genomic.fna.gz,46d7e6b6be2466a120b910a0740206f4fd4a8ff51d4d2d039423ae4079b9d616,2816350,47,2813
moller,SAMN09847817,GCF_003720845.1,data/moller_genome_benchmark/assemblies/SAMN09847817/GCF_003720845.1_ASM372084v1_genomic.fna.gz,247ff4fd6c070053ae4ac5dcbb1a56b7278684f6f14277536b487f1e1a0342d7,2733025,36,2683
moller,SAMN09847818,GCF_003720835.1,data/moller_genome_benchmark/assemblies/SAMN09847818/GCF_003720835.1_ASM372083v1_genomic.fna.gz,d6126da79d3368593bfbf71b06586757f9bfd8c6faa0b79c0d172e31346ec05f,2776591,32,2757
moller,SAMN09847819,GCF_003720795.1,data/moller_genome_benchmark/assemblies/SAMN09847819/GCF_003720795.1_ASM372079v1_genomic.fna.gz,76414fae344a1b9822714f6257ebcf75565e00df827e0e867912f9e4a9d78b6e,2822328,67,2794
moller,SAMN09847820,GCF_003720815.1,data/moller_genome_benchmark/assemblies/SAMN09847820/GCF_003720815.1_ASM372081v1_genomic.fna.gz,1f56339fa2dcaa6850649e93dd119b2d20c1d24ee7ed396751d7aa9ef6b0e808,2819773,66,2793
moller,SAMN09847821,GCF_003719895.1,data/moller_genome_benchmark/assemblies/SAMN09847821/GCF_003719895.1_ASM371989v1_genomic.fna.gz,99f22e1adce682927de452fd21fa3388e7be4c687eb73ed85c546edf4782ca81,2967979,176,2947
moller,SAMN09847822,GCF_003720745.1,data/moller_genome_benchmark/assemblies/SAMN09847822/GCF_003720745.1_ASM372074v1_genomic.fna.gz,8f58e66a927c3841462c6826770f49091ee487a4848323fa6dbf1c1452354de3,2818295,60,2794
moller,SAMN09847823,GCF_003720245.1,data/moller_genome_benchmark/assemblies/SAMN09847823/GCF_003720245.1_ASM372024v1_genomic.fna.gz,01db68c62f81c926596132aa4d11a739e0c95382aeae2b0d0752b435ea8ee5a2,2822821,71,2795
moller,SAMN09847824,GCF_003720115.1,data/moller_genome_benchmark/assemblies/SAMN09847824/GCF_003720115.1_ASM372011v1_genomic.fna.gz,22026501961470e90ae3f2f4440c1211d3db02cadb3ef67b4ca1e8c8142156a2,2702434,39,2656
moller,SAMN09847825,GCF_003431365.1,data/moller_genome_benchmark/assemblies/SAMN09847825/GCF_003431365.1_ASM343136v1_genomic.fna.gz,38acbeecd6e95854ee509ad8bf4bd026570037c07bd084ab98e881badbe875da,2782740,1,2728
moller,SAMN09847826,GCF_003720435.1,data/moller_genome_benchmark/assemblies/SAMN09847826/GCF_003720435.1_ASM372043v1_genomic.fna.gz,7ac7a574d969a590607e291bed041b46b35acde3c6516735c4974a20a113e7fd,2788410,54,2757
moller,SAMN09847827,GCF_003720775.1,data/moller_genome_benchmark/assemblies/SAMN09847827/GCF_003720775.1_ASM372077v1_genomic.fna.gz,b7f3cdd9e53e7b1c1e0645d4851871972af4a9dcd789eb28fa3795cd9f5061ac,2787015,49,2755
moller,SAMN09847828,GCF_003720715.1,data/moller_genome_benchmark/assemblies/SAMN09847828/GCF_003720715.1_ASM372071v1_genomic.fna.gz,e79e2e4fdcb9c4bfbcb383d9dd58c0c968d11bfff84964e3699c2cd9e60eb036,2787692,49,2756
moller,SAMN09847829,GCF_003720735.1,data/moller_genome_benchmark/assemblies/SAMN09847829/GCF_003720735.1_ASM372073v1_genomic.fna.gz,279a3a816a33cbf45bbadf737435ddd598b7ed49b4f77f99089cdbc638fdf463,2787023,49,2755
moller,SAMN09847830,GCF_003720205.1,data/moller_genome_benchmark/assemblies/SAMN09847830/GCF_003720205.1_ASM372020v1_genomic.fna.gz,250b326d3ea3c151b5c96b637cd6471de7995574a2c05f4bb3c777e8f202fafa,2787985,49,2758
moller,SAMN09847831,GCF_003720195.1,data/moller_genome_benchmark/assemblies/SAMN09847831/GCF_003720195.1_ASM372019v1_genomic.fna.gz,ea7a8fb34bed470ec6a552f6a864ce0245a10b5be4dc4bcb2a45400e301d0420,2895019,46,2883
moller,SAMN09847832,GCF_003720355.1,data/moller_genome_benchmark/assemblies/SAMN09847832/GCF_003720355.1_ASM372035v1_genomic.fna.gz,8e7867d4b20b0e34f6591d1e093539c0c7f4017abc7aa0ea8e5ea74312edc08f,2714903,43,2669
moller,SAMN09847833,GCF_003719855.1,data/moller_genome_benchmark/assemblies/SAMN09847833/GCF_003719855.1_ASM371985v1_genomic.fna.gz,98b57a43fcf8009c8c4c918a8059e8c9d8ac3e89b21bf6156412b4fd4daaf28d,2753672,37,2711
moller,SAMN09847834,GCF_003720305.1,data/moller_genome_benchmark/assemblies/SAMN09847834/GCF_003720305.1_ASM372030v1_genomic.fna.gz,5fb84c078c85b08176cfdc2d5a68f901180d6e7753d21053f9e8ae473add66bb,2828883,46,2799
moller,SAMN09847835,GCF_003720025.1,data/moller_genome_benchmark/assemblies/SAMN09847835/GCF_003720025.1_ASM372002v1_genomic.fna.gz,27b69e6629d7d438eda474eec3f0cc992241758b19e8553d89052a455c5fd41b,2741496,40,2707
moller,SAMN09847836,GCF_003720485.1,data/moller_genome_benchmark/assemblies/SAMN09847836/GCF_003720485.1_ASM372048v1_genomic.fna.gz,7c9f4ccc5a9805c66df7f7f7a4a44b00dc5521aca6f90feed439655143473a0d,2790920,49,2717
moller,SAMN09847837,GCF_003720135.1,data/moller_genome_benchmark/assemblies/SAMN09847837/GCF_003720135.1_ASM372013v1_genomic.fna.gz,ce97adc1f5655cc8e805b6d4e76fe6226b63003a17c798145db12a3d45b9c726,2662831,40,2634
moller,SAMN09847838,GCF_003720015.1,data/moller_genome_benchmark/assemblies/SAMN09847838/GCF_003720015.1_ASM372001v1_genomic.fna.gz,a4740ccafda96114d99e02e79e4c91e230245ea96267c5ff91607ada4c19aa65,2783493,37,2763
moller,SAMN09847839,GCF_003719995.1,data/moller_genome_benchmark/assemblies/SAMN09847839/GCF_003719995.1_ASM371999v1_genomic.fna.gz,ea6574c8832a3ed35b4d51007a532424d62234ccda08d0a57fbc1dd78c3ad5ea,2782586,35,2763
moller,SAMN09847840,GCF_003720375.1,data/moller_genome_benchmark/assemblies/SAMN09847840/GCF_003720375.1_ASM372037v1_genomic.fna.gz,d154a141f163299b02f235d30e8028ae245103550db2278b576fa2fd339bd379,2784304,37,2761
moller,SAMN09847841,GCF_003720445.1,data/moller_genome_benchmark/assemblies/SAMN09847841/GCF_003720445.1_ASM372044v1_genomic.fna.gz,50a41c1d57ee7f1cd4c3955482cb3b13d05b741c665eecfebfd0e4c97a62bf5d,2791679,37,2778
moller,SAMN09847842,GCF_003720385.1,data/moller_genome_benchmark/assemblies/SAMN09847842/GCF_003720385.1_ASM372038v1_genomic.fna.gz,32af37ad8f2dc9a2b3e60c515424b20811d87a3ec1b64696c838c173a2ea3579,2927132,117,2866
moller,SAMN09847843,GCF_003719905.1,data/moller_genome_benchmark/assemblies/SAMN09847843/GCF_003719905.1_ASM371990v1_genomic.fna.gz,94fa87ed25ae21e1ca895aae48d6645346b249ce54bdc8e1a9b1b24a49c6a0a4,2691630,42,2656
moller,SAMN09847844,GCF_003720415.1,data/moller_genome_benchmark/assemblies/SAMN09847844/GCF_003720415.1_ASM372041v1_genomic.fna.gz,440dbd1a32d500ea1964a23c70ff06216972f935eb5f878756363547f618bd07,2898057,83,2869
moller,SAMN09847845,GCF_003719965.1,data/moller_genome_benchmark/assemblies/SAMN09847845/GCF_003719965.1_ASM371996v1_genomic.fna.gz,be3aa57fffa1ca8ff7cd1e4cde761396d38315e2fbf0dc3c64c50d6b5085fe46,2751330,62,2720
moller,SAMN09847846,GCF_003720235.1,data/moller_genome_benchmark/assemblies/SAMN09847846/GCF_003720235.1_ASM372023v1_genomic.fna.gz,495325ded11b26b3e37fac98f04a32a5447f2365410d6d15ab3cc1f5c2eb0ae4,2748954,42,2708
moller,SAMN09847847,GCF_003719945.1,data/moller_genome_benchmark/assemblies/SAMN09847847/GCF_003719945.1_ASM371994v1_genomic.fna.gz,207bc949cf3603311a9bf207a635d1b48033e97b51fea738029115c1c521b238,2823147,43,2802
moller,SAMN09847848,GCF_003719845.1,data/moller_genome_benchmark/assemblies/SAMN09847848/GCF_003719845.1_ASM371984v1_genomic.fna.gz,8159c781018ed8f1598fbb3585f9761fcb35530d914addaa87d9612060de1fe5,2761455,33,2745
moller,SAMN09847849,GCF_003720325.1,data/moller_genome_benchmark/assemblies/SAMN09847849/GCF_003720325.1_ASM372032v1_genomic.fna.gz,41f6e8f26e6491e2997f159dc1984aa485f10409d369d68efc02c59617ab050c,2790775,43,2760
moller,SAMN09847850,GCF_003720085.1,data/moller_genome_benchmark/assemblies/SAMN09847850/GCF_003720085.1_ASM372008v1_genomic.fna.gz,962765880ca4a4b3c54079fe89bac5d1ae5937b0e72f6256aee75c10db4ea9ba,2817443,62,2782
moller,SAMN09847851,GCF_003720685.1,data/moller_genome_benchmark/assemblies/SAMN09847851/GCF_003720685.1_ASM372068v1_genomic.fna.gz,c024137cacaa8442cd343141d3561a8f300958b101caf4976e2b77e576153daa,2851502,61,2812
moller,SAMN09847852,GCF_003720675.1,data/moller_genome_benchmark/assemblies/SAMN09847852/GCF_003720675.1_ASM372067v1_genomic.fna.gz,79733dee09dc4b5a11e1a8d11e2ba59acb4cb58ac21690541f16ae36fb0c4c8b,2723586,49,2698
moller,SAMN09847853,GCF_003720635.1,data/moller_genome_benchmark/assemblies/SAMN09847853/GCF_003720635.1_ASM372063v1_genomic.fna.gz,4e494a6a41f35dbad952f47582924d504031875077936fdba79bf6067b945d75,2811738,49,2787
moller,SAMN09847854,GCF_003720655.1,data/moller_genome_benchmark/assemblies/SAMN09847854/GCF_003720655.1_ASM372065v1_genomic.fna.gz,fee6429123da32d1f17c7a4ea2e7a8c67efadbba356e413639c2eba144a2267a,2840258,80,2852
moller,SAMN09847855,GCF_003720575.1,data/moller_genome_benchmark/assemblies/SAMN09847855/GCF_003720575.1_ASM372057v1_genomic.fna.gz,d6e616086927d81a557257629cb8af7b786b5ec7a4506bddc9582ac80113c88f,2861087,47,2844
moller,SAMN09847856,GCF_003720055.1,data/moller_genome_benchmark/assemblies/SAMN09847856/GCF_003720055.1_ASM372005v1_genomic.fna.gz,83d0e6ade671115fc921a86731db72376c4bb71605b39aafeebe8686a3b12cfb,2926156,52,2909
moller,SAMN09847857,GCF_003720605.1,data/moller_genome_benchmark/assemblies/SAMN09847857/GCF_003720605.1_ASM372060v1_genomic.fna.gz,926365b5802d004f603dbdd6c7765c77961c9d5d833d37a21c4620262e6add51,2866137,148,2825
moller,SAMN09847858,GCF_003720595.1,data/moller_genome_benchmark/assemblies/SAMN09847858/GCF_003720595.1_ASM372059v1_genomic.fna.gz,1adc3353d556e1a2feedb2b7d269f4cf6fc711a6469069640c95623f4eedb09f,2748775,50,2720
moller,SAMN09847859,GCF_003720535.1,data/moller_genome_benchmark/assemblies/SAMN09847859/GCF_003720535.1_ASM372053v1_genomic.fna.gz,eddbc7c033f04cead8706f7f94994a561d503266e2611388410a7c37034e44a1,2902592,68,2891
moller,SAMN09847860,GCF_003720125.1,data/moller_genome_benchmark/assemblies/SAMN09847860/GCF_003720125.1_ASM372012v1_genomic.fna.gz,9603e7c566fd32cbfdd78a997e37273e26a4aa9e75de3bf270674a71b5995378,2793970,44,2780
moller,SAMN09847861,GCF_003720295.1,data/moller_genome_benchmark/assemblies/SAMN09847861/GCF_003720295.1_ASM372029v1_genomic.fna.gz,b8dc7998a84c7deeff15d2f16d902dcf077d7ad2fea6e88e5d9386ca6afbeaa1,2936734,68,2925
moller,SAMN09847862,GCF_003720075.1,data/moller_genome_benchmark/assemblies/SAMN09847862/GCF_003720075.1_ASM372007v1_genomic.fna.gz,3d9834558ebaa8e19a5b47136c4580115f42fb5fb62e7e1b80602e6786345da1,2881105,38,2873
moller,SAMN09847863,GCF_003721195.1,data/moller_genome_benchmark/assemblies/SAMN09847863/GCF_003721195.1_ASM372119v1_genomic.fna.gz,3b5f29537f42e39894c1d973aa5173b7badcd97f792065998ea7eea140c17839,2879733,41,2869
moller,SAMN09847864,GCF_003720175.1,data/moller_genome_benchmark/assemblies/SAMN09847864/GCF_003720175.1_ASM372017v1_genomic.fna.gz,3b17c36f28735cf91d2bbda4d0a95088c1af9aae8a0899b96bcd72fd0f5cf880,2769595,42,2796
moller,SAMN09847865,GCF_003720545.1,data/moller_genome_benchmark/assemblies/SAMN09847865/GCF_003720545.1_ASM372054v1_genomic.fna.gz,910c73709f981cdb13ad6062d69ae902c3fb4e1e45d4b1e7c3889eaa5de5b74f,2880683,40,2875
moller,SAMN09847866,GCF_003720515.1,data/moller_genome_benchmark/assemblies/SAMN09847866/GCF_003720515.1_ASM372051v1_genomic.fna.gz,d551291ea1cdd059de243ea868c3a2f4fd64c548812ff1cd954a7824d9cbdfba,2809235,45,2770
moller,SAMN09847867,GCF_003720475.1,data/moller_genome_benchmark/assemblies/SAMN09847867/GCF_003720475.1_ASM372047v1_genomic.fna.gz,7f95e03db1dd5225673d93cc54c353f6d5b077496610e295be51f2d0d2df0093,2813106,35,2791
walsh,SAMN31484028,ERZ26651909,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484028/SAMN31484028.fa.gz,1c2178c3f47bf1a80e1892adf70b471804199c843b57d1bd94c9febe4e3faadb,2675428,49,2659
walsh,SAMN31484033,ERZ26651962,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484033/SAMN31484033.fa.gz,3c3e21b61ed8c59316995c16c80c53404bf2503b498853468805c027fce85dcb,2673394,42,2658
walsh,SAMN31484034,ERZ26651971,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484034/SAMN31484034.fa.gz,f2333a71cdb051b636da332e51d0ff4c8b7f3f78be27e36dfb5453b8f5c7de93,2699756,37,2660
walsh,SAMN31484036,ERZ26651996,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484036/SAMN31484036.fa.gz,7e03900e3339c126bc9730a470736ea7d95ec213ab58b6b79266334d9fc02466,2757262,49,2723
walsh,SAMN31484035,ERZ26651983,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484035/SAMN31484035.fa.gz,8d4566028997fc6666f5a7bbb610a480a40b0ce28dc5a34f2a0a5520ca63357f,2731337,32,2720
walsh,SAMN31484037,ERZ26652006,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484037/SAMN31484037.fa.gz,c239b39c359e284ac2c5db4b9a557ca1cbccf81a1cc86419d03b4762e171212e,2844855,58,2864
walsh,SAMN31484038,ERZ26652017,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484038/SAMN31484038.fa.gz,e58b18666c6632b4049db323bc05ea7e7d0788302e7b45355663e3894bc67502,2798055,54,2843
walsh,SAMN31484039,ERZ26652025,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484039/SAMN31484039.fa.gz,d646ed42e8260c27d1ee5c3262e77a98a8fb1e4aa2f312d6f892ab000b16208a,2918448,67,2938
walsh,SAMN31484040,ERZ26652037,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484040/SAMN31484040.fa.gz,dd41118e203591712a6a8d1ff746a226e2c1a0e79ce9744be6104f98cd896782,2918969,64,2940
walsh,SAMN31484041,ERZ26652046,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484041/SAMN31484041.fa.gz,36c3c0dac0ba36e8b65b658697769255767fa72499e2d356b50cb0fee7a71bed,2740716,73,2751
walsh,SAMN31484042,ERZ26652060,data/walsh_2023_isp/benchmark/ena_assemblies/SAMN31484042/SAMN31484042.fa.gz,13a01b9ddd62bd3b81d4de4cb4e6a5f9d7788334608a7337190ea3af34a1a138,2796034,55,2831
