host_a,host_b,biosample_a,biosample_b,reported_cc_a,reported_cc_b,same_reported_cc,sourmash_jaccard_k31_scaled1000
SR4156,NRS164,SAMN02649767,SAMN03859762,5,15,False,0.6465185185185185
SR4156,NRS167,SAMN02649767,SAMN03859763,5,22,False,0.5130081300813009
SR4156,NRS169,SAMN02649767,SAMN03859765,5,45,False,0.3970366649924661
SR4156,NRS170,SAMN02649767,SAMN03859766,5,10,False,0.43219264892268694
SR4156,NRS172,SAMN02649767,SAMN03859767,5,8,False,0.6407795229784758
SR4156,NRS175,SAMN02649767,SAMN03859769,5,72,False,0.6430704898446834
SR4156,NRS177,SAMN02649767,SAMN03859770,5,30,False,0.4081276489653453
SR4156,NRS183,SAMN02649767,SAMN03859774,5,15,False,0.6342538190364277
SR4156,NRS185,SAMN02649767,SAMN03859775,5,121,False,0.45971933471933474
SR4156,NRS187,SAMN02649767,SAMN03859776,5,25,False,0.6358261897723914
SR4156,NRS188,SAMN02649767,SAMN03859777,5,5,True,0.8863402944197193
SR4156,NRS189,SAMN02649767,SAMN03859778,5,30,False,0.4087829360100376
SR4156,NRS198,SAMN02649767,SAMN03859783,5,8,False,0.6363103953147877
SR4156,NRS199,SAMN02649767,SAMN03859784,5,121,False,0.4516293279022403
SR4156,NRS201,SAMN02649767,SAMN03859785,5,8,False,0.6246726796624964
SR4156,NRS202,SAMN02649767,SAMN03859786,5,8,False,0.6327764976958525
SR4156,NRS203,SAMN02649767,SAMN03859787,5,30,False,0.49168207024029575
SR4156,NRS205,SAMN02649767,SAMN03859789,5,121,False,0.45608991113434394
SR4156,NRS207,SAMN02649767,SAMN03859790,5,30,False,0.4108352144469526
SR4156,NRS210,SAMN02649767,SAMN03859792,5,30,False,0.41189931350114417
SR4156,NRS211,SAMN02649767,SAMN03859793,5,8,False,0.6324561403508772
SR4156,NRS212,SAMN02649767,SAMN03859794,5,30,False,0.41239207719654647
SR4156,NRS213,SAMN02649767,SAMN03859795,5,30,False,0.4112718964204113
SR4156,NRS214,SAMN02649767,SAMN03859796,5,8,False,0.6339208321294424
SR4156,NRS215,SAMN02649767,SAMN03859797,5,121,False,0.47723035952063914
SR4156,NRS216,SAMN02649767,SAMN03859798,5,30,False,0.41568529190679027
SR4156,NRS217,SAMN02649767,SAMN03859799,5,121,False,0.476898566117897
SR4156,NRS218,SAMN02649767,SAMN03859800,5,8,False,0.6218223364752927
SR4156,NRS219,SAMN02649767,SAMN03859801,5,30,False,0.41304347826086957
SR4156,NRS220,SAMN02649767,SAMN03859802,5,97,False,0.6420620972466315
SR4156,NRS222,SAMN02649767,SAMN03859803,5,30,False,0.4063364344983656
SR4156,NRS224,SAMN02649767,SAMN03859805,5,97,False,0.6382421420256111
SR4156,NRS225,SAMN02649767,SAMN03859806,5,121,False,0.4716729021913415
SR4156,NRS226,SAMN02649767,SAMN03859807,5,1,False,0.6293402777777778
SR4156,NRS227,SAMN02649767,SAMN03859808,5,25,False,0.6182244359800761
SR4156,NRS230,SAMN02649767,SAMN03859809,5,121,False,0.44609297725024727
SR4156,NRS235,SAMN02649767,SAMN03859813,5,22,False,0.5097035040431267
SR4156,NRS236,SAMN02649767,SAMN03859814,5,45,False,0.39269521410579344
SR4156,NRS237,SAMN02649767,SAMN03859815,5,121,False,0.46984792868379655
SR4156,NRS239,SAMN02649767,SAMN03859816,5,121,False,0.46332046332046334
SR4156,NRS240,SAMN02649767,SAMN03859817,5,5,True,0.8913189771197847
SR4156,NRS241,SAMN02649767,SAMN03859818,5,59,False,0.46727748691099474
SR4156,NRS242,SAMN02649767,SAMN03859819,5,121,False,0.48246297739672644
SR4156,NRS243,SAMN02649767,SAMN03859820,5,59,False,0.46829397718227644
SR4156,NRS245,SAMN02649767,SAMN03859821,5,59,False,0.4574609064404983
SR4156,NRS248,SAMN02649767,SAMN03859824,5,1,False,0.6300323244196298
SR4156,NRS252,SAMN02649767,SAMN03859826,5,30,False,0.4036068072136144
SR4156,NRS260,SAMN02649767,SAMN03859829,5,25,False,0.6192443919716647
SR4156,NRS262,SAMN02649767,SAMN03859830,5,1,False,0.6042454201802849
SR4156,NRS264,SAMN02649767,SAMN03859831,5,30,False,0.3945959724700484
SR4156,NRS266,SAMN02649767,SAMN03859833,5,121,False,0.45798538622129437
SR4156,NRS383,SAMN02649767,SAMN03859838,5,30,False,0.4230769230769231
SR4156,NRS386,SAMN02649767,SAMN03859839,5,72,False,0.6473902728351127
SR4156,NRS387,SAMN02649767,SAMN03859840,5,5,True,0.9079712624016422
SR4156,NRS253,SAMN02649767,SAMN04244164,5,398,False,0.42745912276148457
SR4156,NRS254,SAMN02649767,SAMN04244165,5,8,False,0.634820143884892
SR4156,NRS255,SAMN02649767,SAMN04244166,5,80,False,0.6367107195301028
SR4156,BCH-SA-01,SAMN02649767,SAMN09847804,5,5,True,0.9417677642980936
SR4156,BCH-SA-02,SAMN02649767,SAMN09847805,5,5,True,0.9482997918112422
SR4156,BCH-SA-03,SAMN02649767,SAMN09847806,5,72,False,0.6525905959868225
SR4156,BCH-SA-04,SAMN02649767,SAMN09847807,5,1,False,0.6386283704572099
SR4156,BCH-SA-05,SAMN02649767,SAMN09847808,5,5,True,0.9301919720767888
SR4156,BCH-SA-06,SAMN02649767,SAMN09847809,5,5,True,0.9362813370473537
SR4156,BCH-SA-07,SAMN02649767,SAMN09847810,5,97,False,0.648504589872668
SR4156,BCH-SA-08,SAMN02649767,SAMN09847811,5,30,False,0.41674950298210733
SR4156,BCH-SA-09,SAMN02649767,SAMN09847812,5,398,False,0.4282781626892481
SR4156,BCH-SA-10,SAMN02649767,SAMN09847813,5,8,False,0.6358296622613803
SR4156,BCH-SA-11,SAMN02649767,SAMN09847814,5,30,False,0.41087010720518574
SR4156,BCH-SA-12,SAMN02649767,SAMN09847815,5,5,True,0.9146554739419377
SR4156,BCH-SA-13,SAMN02649767,SAMN09847816,5,8,False,0.6359433689685062
SR4156,BCH-SA-14,SAMN02649767,SAMN09847817,5,72,False,0.6483909415971395
SR4156,BCH-SA-15,SAMN02649767,SAMN09847818,5,8,False,0.6305991855730075
SR4156,CFBREBSa101,SAMN02649767,SAMN09847819,5,5,True,0.9405089408528198
SR4156,CFBREBSa102,SAMN02649767,SAMN09847820,5,5,True,0.9408324733402132
SR4156,CFBREBSa103,SAMN02649767,SAMN09847821,5,8,False,0.6645605973578403
SR4156,CFBREBSa104,SAMN02649767,SAMN09847822,5,5,True,0.9405089408528198
SR4156,CFBRSa26,SAMN02649767,SAMN09847823,5,5,True,0.9395189003436426
SR4156,CFBRSa48,SAMN02649767,SAMN09847824,5,5,True,0.925498426023085
SR4156,CFBREBSa105,SAMN02649767,SAMN09847825,5,5,True,0.9405010438413361
SR4156,CFBREBSa108,SAMN02649767,SAMN09847826,5,5,True,0.9438280166435506
SR4156,CFBREBSa110,SAMN02649767,SAMN09847827,5,5,True,0.9438085327783559
SR4156,CFBREBSa112,SAMN02649767,SAMN09847828,5,5,True,0.9434812760055479
SR4156,CFBREBSa114,SAMN02649767,SAMN09847829,5,5,True,0.9438085327783559
SR4156,CFBRSa47,SAMN02649767,SAMN09847830,5,5,True,0.9448491155046826
SR4156,CFBRSa49,SAMN02649767,SAMN09847831,5,8,False,0.6353780313837375
SR4156,CFBRSa03,SAMN02649767,SAMN09847832,5,5,True,0.9113266366470385
SR4156,CFBRSa50,SAMN02649767,SAMN09847833,5,5,True,0.9002050580997949
SR4156,CFBRSa25,SAMN02649767,SAMN09847834,5,5,True,0.9428964568283453
SR4156,CFBRSa30,SAMN02649767,SAMN09847835,5,5,True,0.9365632624607877
SR4156,CFBRSa04,SAMN02649767,SAMN09847836,5,5,True,0.9366736256089074
SR4156,CFBRSa51,SAMN02649767,SAMN09847837,5,5,True,0.9018383628165105
SR4156,CFBRSa66A,SAMN02649767,SAMN09847838,5,5,True,0.9325068870523416
SR4156,CFBRSa66B,SAMN02649767,SAMN09847839,5,5,True,0.9325068870523416
SR4156,CFBRSa21,SAMN02649767,SAMN09847840,5,5,True,0.9411764705882353
SR4156,CFBRSa05,SAMN02649767,SAMN09847841,5,8,False,0.6314873876485938
SR4156,CFBRSa22,SAMN02649767,SAMN09847842,5,5,True,0.9248905355338498
SR4156,CFBRSa70,SAMN02649767,SAMN09847843,5,5,True,0.9008977900552486
SR4156,CFBRSa06,SAMN02649767,SAMN09847844,5,30,False,0.40319018404907975
SR4156,CFBRSa27,SAMN02649767,SAMN09847845,5,5,True,0.9370434782608695
SR4156,CFBRSa23,SAMN02649767,SAMN09847846,5,5,True,0.9443666899930021
SR4156,CFBRSa74,SAMN02649767,SAMN09847847,5,5,True,0.9466069583189803
SR4156,CFBRSa28,SAMN02649767,SAMN09847848,5,1,False,0.62097942625326
SR4156,CFBRSa24,SAMN02649767,SAMN09847849,5,5,True,0.9489228630993746
SR4156,CFBRSa07,SAMN02649767,SAMN09847850,5,5,True,0.9030077728962488
SR4156,CFBREBSa116,SAMN02649767,SAMN09847851,5,5,True,0.9215885947046843
SR4156,CFBREBSa117,SAMN02649767,SAMN09847852,5,97,False,0.6469714964370546
SR4156,CFBREBSa118,SAMN02649767,SAMN09847853,5,5,True,0.9294762067785005
SR4156,CFBREBSa119,SAMN02649767,SAMN09847854,5,30,False,0.4111386138613861
SR4156,CFBREBSa121,SAMN02649767,SAMN09847855,5,8,False,0.628898426323319
SR4156,CFBRSa29,SAMN02649767,SAMN09847856,5,8,False,0.6344024978711326
SR4156,CFBREBSa122,SAMN02649767,SAMN09847857,5,30,False,0.41708291708291706
SR4156,CFBREBSa123,SAMN02649767,SAMN09847858,5,5,True,0.9343522056269538
SR4156,CFBREBSa125,SAMN02649767,SAMN09847859,5,8,False,0.6343963553530751
SR4156,CFBREBSa126,SAMN02649767,SAMN09847860,5,8,False,0.6387190684133915
SR4156,CFBREBSa127,SAMN02649767,SAMN09847861,5,8,False,0.6301524562394127
SR4156,CFBREBSa129,SAMN02649767,SAMN09847862,5,8,False,0.6329908675799086
SR4156,CFBREBSa130,SAMN02649767,SAMN09847863,5,8,False,0.6337142857142857
SR4156,CFBREBSa131,SAMN02649767,SAMN09847864,5,45,False,0.40074441687344914
SR4156,CFBREBSa133,SAMN02649767,SAMN09847865,5,8,False,0.6326297775242442
SR4156,CFBREBSa135,SAMN02649767,SAMN09847866,5,8,False,0.6339052050014539
SR4156,CFBREBSa138,SAMN02649767,SAMN09847867,5,8,False,0.6286456829338724
CA105,CA11,SAMN02649769,SAMN02649770,8,5,False,0.6233361653922401
CA105,CA39,SAMN02649769,SAMN02649771,8,5,False,0.6360230547550433
CA105,CA436,SAMN02649769,SAMN02649772,8,5,False,0.631534090909091
CA105,CA544,SAMN02649769,SAMN02649773,8,5,False,0.6269474899019042
CA105,CA545,SAMN02649769,SAMN02649774,8,5,False,0.6117614269788183
CA105,CA598,SAMN02649769,SAMN02649775,8,5,False,0.6275725965604736
CA105,CA9,SAMN02649769,SAMN02649776,8,5,False,0.6388568129330254
CA105,GA12,SAMN02649769,SAMN02649777,8,5,False,0.6312607944732297
CA105,GA15,SAMN02649769,SAMN02649778,8,8,True,0.9066843150231635
CA105,GA231,SAMN02649769,SAMN02649779,8,8,True,0.901595744680851
CA105,GA984,SAMN02649769,SAMN02649780,8,5,False,0.6505954109787976
CA105,MN055,SAMN02649769,SAMN02649781,8,5,False,0.6321937321937322
CA105,MN105,SAMN02649769,SAMN02649782,8,5,False,0.6356655290102389
CA105,NY224,SAMN02649769,SAMN02649783,8,5,False,0.6327635327635328
CA105,NY341,SAMN02649769,SAMN02649784,8,5,False,0.6305949008498584
CA105,NY356,SAMN02649769,SAMN02649785,8,5,False,0.63558352402746
CA105,NY360,SAMN02649769,SAMN02649786,8,5,False,0.6332288401253918
CA105,NY417,SAMN02649769,SAMN02649787,8,5,False,0.6357936734112283
CA105,NY439,SAMN02649769,SAMN02649788,8,5,False,0.6280453257790368
CA105,NY593,SAMN02649769,SAMN02649789,8,5,False,0.6225779275484414
CA105,SR1287,SAMN02649769,SAMN02649790,8,8,True,0.9808612440191388
CA105,SR1746,SAMN02649769,SAMN02649791,8,30,False,0.42970630717380837
CA105,SR2091,SAMN02649769,SAMN02649792,8,72,False,0.6544642857142857
CA105,SR220,SAMN02649769,SAMN02649793,8,5,False,0.6361256544502618
CA105,SR3569,SAMN02649769,SAMN02649794,8,5,False,0.6304225352112676
CA105,SR3732,SAMN02649769,SAMN02649795,8,5,False,0.6389521640091116
CA105,SR3777,SAMN02649769,SAMN02649796,8,5,False,0.6861581920903955
CA105,SR4035,SAMN02649769,SAMN02649797,8,8,True,0.9655521783181358
CA105,SR4153,SAMN02649769,SAMN02649798,8,5,False,0.6262683201803834
CA105,SR4187,SAMN02649769,SAMN02649799,8,5,False,0.6285795293450525
CA105,120335,SAMN02649769,SAMN02649800,8,5,False,0.636493841306216
CA105,120337,SAMN02649769,SAMN02649801,8,5,False,0.6324589218795041
CA105,107,SAMN02649769,SAMN02649802,8,5,False,0.6344238975817923
CA105,109,SAMN02649769,SAMN02649803,8,8,True,0.8802083333333334
CA105,115,SAMN02649769,SAMN02649804,8,5,False,0.6312076749435666
CA105,122VISA,SAMN02649769,SAMN02649805,8,5,False,0.6293588301462317
CA105,123,SAMN02649769,SAMN02649806,8,5,False,0.6269977168949772
CA105,126,SAMN02649769,SAMN02649807,8,8,True,0.9029255319148937
CA105,217,SAMN02649769,SAMN02649808,8,5,False,0.6341253936444318
CA105,221,SAMN02649769,SAMN02649809,8,5,False,0.6366550116550117
CA105,312,SAMN02649769,SAMN02649810,8,45,False,0.3989850169163847
CA105,407,SAMN02649769,SAMN02649811,8,5,False,0.634160250926718
CA105,504,SAMN02649769,SAMN02649812,8,5,False,0.6317873303167421
CA105,506,SAMN02649769,SAMN02649813,8,5,False,0.6306738088525514
CA105,Grady1,SAMN02649769,SAMN02649814,8,1,False,0.6854670247687258
CA105,120338,SAMN02649769,SAMN02649815,8,5,False,0.6368059530623926
CA105,NRS021,SAMN02649769,SAMN03859721,8,8,True,0.8712072304712718
CA105,NRS022,SAMN02649769,SAMN03859722,8,45,False,0.39887777506708955
CA105,NRS027,SAMN02649769,SAMN03859723,8,8,True,0.8762990278243379
CA105,NRS029,SAMN02649769,SAMN03859724,8,30,False,0.4077454366058214
CA105,NRS039,SAMN02649769,SAMN03859727,8,8,True,0.874430709173715
CA105,NRS049,SAMN02649769,SAMN03859728,8,5,False,0.6200696055684455
CA105,NRS051,SAMN02649769,SAMN03859729,8,5,False,0.6355685131195336
CA105,NRS063,SAMN02649769,SAMN03859732,8,8,True,0.7098986285032797
CA105,NRS071,SAMN02649769,SAMN03859735,8,30,False,0.418487817131374
CA105,NRS072,SAMN02649769,SAMN03859736,8,1,False,0.6733608978145305
CA105,NRS073,SAMN02649769,SAMN03859737,8,8,True,0.8725239616613418
CA105,NRS074,SAMN02649769,SAMN03859738,8,5,False,0.633095577746077
CA105,NRS100,SAMN02649769,SAMN03859740,8,8,True,0.8947368421052632
CA105,NRS102,SAMN02649769,SAMN03859741,8,25,False,0.631079478054567
CA105,NRS104,SAMN02649769,SAMN03859743,8,30,False,0.4081074359612037
CA105,NRS105,SAMN02649769,SAMN03859744,8,97,False,0.6411160058737151
CA105,NRS106,SAMN02649769,SAMN03859745,8,8,True,0.8949164107813034
CA105,NRS108,SAMN02649769,SAMN03859747,8,8,True,0.8520458265139116
CA105,NRS109,SAMN02649769,SAMN03859748,8,45,False,0.3895103156848123
CA105,NRS113,SAMN02649769,SAMN03859752,8,10,False,0.42102537545313307
CA105,NRS114,SAMN02649769,SAMN03859753,8,8,True,0.8951310861423221
CA105,NRS145,SAMN02649769,SAMN03859755,8,8,True,0.895042735042735
CA105,NRS148,SAMN02649769,SAMN03859756,8,121,False,0.4498314752398237
CA105,NRS149,SAMN02649769,SAMN03859757,8,5,False,0.6262064931266452
CA105,NRS152,SAMN02649769,SAMN03859758,8,8,True,0.8708598193375711
CA105,NRS157,SAMN02649769,SAMN03859759,8,22,False,0.5133049494411921
CA105,NRS161,SAMN02649769,SAMN03859760,8,22,False,0.5193504736129906
CA105,NRS162,SAMN02649769,SAMN03859761,8,30,False,0.41842369477911645
CA105,NRS164,SAMN02649769,SAMN03859762,8,15,False,0.67235699311171
CA105,NRS167,SAMN02649769,SAMN03859763,8,22,False,0.5113146551724138
CA105,NRS169,SAMN02649769,SAMN03859765,8,45,False,0.3902014424272569
CA105,NRS170,SAMN02649769,SAMN03859766,8,10,False,0.4224505136557254
CA105,NRS172,SAMN02649769,SAMN03859767,8,8,True,0.8843085106382979
CA105,NRS175,SAMN02649769,SAMN03859769,8,72,False,0.6575712143928036
CA105,NRS177,SAMN02649769,SAMN03859770,8,30,False,0.4106388267462093
CA105,NRS183,SAMN02649769,SAMN03859774,8,15,False,0.6597387173396675
CA105,NRS185,SAMN02649769,SAMN03859775,8,121,False,0.4629341627786418
CA105,NRS187,SAMN02649769,SAMN03859776,8,25,False,0.6394457547169812
CA105,NRS188,SAMN02649769,SAMN03859777,8,5,False,0.6294879340788699
CA105,NRS189,SAMN02649769,SAMN03859778,8,30,False,0.41236855282924384
CA105,NRS198,SAMN02649769,SAMN03859783,8,8,True,0.9014561462919065
CA105,NRS199,SAMN02649769,SAMN03859784,8,121,False,0.4445284921835603
CA105,NRS201,SAMN02649769,SAMN03859785,8,8,True,0.859794497845542
CA105,NRS202,SAMN02649769,SAMN03859786,8,8,True,0.8798679867986798
CA105,NRS203,SAMN02649769,SAMN03859787,8,30,False,0.4936842105263158
CA105,NRS205,SAMN02649769,SAMN03859789,8,121,False,0.44988344988344986
CA105,NRS207,SAMN02649769,SAMN03859790,8,30,False,0.4154770848985725
CA105,NRS210,SAMN02649769,SAMN03859792,8,30,False,0.41051567239635994
CA105,NRS211,SAMN02649769,SAMN03859793,8,8,True,0.87374749498998
CA105,NRS212,SAMN02649769,SAMN03859794,8,30,False,0.41529501139528996
CA105,NRS213,SAMN02649769,SAMN03859795,8,30,False,0.4116755117513268
CA105,NRS214,SAMN02649769,SAMN03859796,8,8,True,0.8877076411960133
CA105,NRS215,SAMN02649769,SAMN03859797,8,121,False,0.4761652542372881
CA105,NRS216,SAMN02649769,SAMN03859798,8,30,False,0.4135956175298805
CA105,NRS217,SAMN02649769,SAMN03859799,8,121,False,0.47428119229754684
CA105,NRS218,SAMN02649769,SAMN03859800,8,8,True,0.8522727272727273
CA105,NRS219,SAMN02649769,SAMN03859801,8,30,False,0.41379310344827586
CA105,NRS220,SAMN02649769,SAMN03859802,8,97,False,0.6470760233918129
CA105,NRS222,SAMN02649769,SAMN03859803,8,30,False,0.4095811387007775
CA105,NRS224,SAMN02649769,SAMN03859805,8,97,False,0.6461001164144354
CA105,NRS225,SAMN02649769,SAMN03859806,8,121,False,0.46829397718227644
CA105,NRS226,SAMN02649769,SAMN03859807,8,1,False,0.6700118063754428
CA105,NRS227,SAMN02649769,SAMN03859808,8,25,False,0.6176041970271058
CA105,NRS230,SAMN02649769,SAMN03859809,8,121,False,0.4463318562284589
CA105,NRS235,SAMN02649769,SAMN03859813,8,22,False,0.5137170521785906
CA105,NRS236,SAMN02649769,SAMN03859814,8,45,False,0.394928445895054
CA105,NRS237,SAMN02649769,SAMN03859815,8,121,False,0.4680740161584571
CA105,NRS239,SAMN02649769,SAMN03859816,8,121,False,0.46274007682458385
CA105,NRS240,SAMN02649769,SAMN03859817,8,5,False,0.6262597178232076
CA105,NRS241,SAMN02649769,SAMN03859818,8,59,False,0.4778273419050118
CA105,NRS242,SAMN02649769,SAMN03859819,8,121,False,0.4707542329399692
CA105,NRS243,SAMN02649769,SAMN03859820,8,59,False,0.4657353716394307
CA105,NRS245,SAMN02649769,SAMN03859821,8,59,False,0.4572784810126582
CA105,NRS248,SAMN02649769,SAMN03859824,8,1,False,0.6768953068592057
CA105,NRS252,SAMN02649769,SAMN03859826,8,30,False,0.41369653767820774
CA105,NRS260,SAMN02649769,SAMN03859829,8,25,False,0.6257741079327632
CA105,NRS262,SAMN02649769,SAMN03859830,8,1,False,0.6277157956547269
CA105,NRS264,SAMN02649769,SAMN03859831,8,30,False,0.40005092946269416
CA105,NRS266,SAMN02649769,SAMN03859833,8,121,False,0.4517713990173261
CA105,NRS383,SAMN02649769,SAMN03859838,8,30,False,0.41572481572481573
CA105,NRS386,SAMN02649769,SAMN03859839,8,72,False,0.6722588376273217
CA105,NRS387,SAMN02649769,SAMN03859840,8,5,False,0.6448488406222483
CA105,NRS253,SAMN02649769,SAMN04244164,8,398,False,0.4281653746770026
CA105,NRS254,SAMN02649769,SAMN04244165,8,8,True,0.8894405825885469
CA105,NRS255,SAMN02649769,SAMN04244166,8,80,False,0.6572950577093815
CA105,BCH-SA-01,SAMN02649769,SAMN09847804,8,5,False,0.6439836448598131
CA105,BCH-SA-02,SAMN02649769,SAMN09847805,8,5,False,0.6472992700729927
CA105,BCH-SA-03,SAMN02649769,SAMN09847806,8,72,False,0.6596827297216402
CA105,BCH-SA-04,SAMN02649769,SAMN09847807,8,1,False,0.67751567632129
CA105,BCH-SA-05,SAMN02649769,SAMN09847808,8,5,False,0.6358551663232264
CA105,BCH-SA-06,SAMN02649769,SAMN09847809,8,5,False,0.6425631981187536
CA105,BCH-SA-07,SAMN02649769,SAMN09847810,8,97,False,0.6535619272834762
CA105,BCH-SA-08,SAMN02649769,SAMN09847811,8,30,False,0.418172815053231
CA105,BCH-SA-09,SAMN02649769,SAMN09847812,8,398,False,0.42533129459734964
CA105,BCH-SA-10,SAMN02649769,SAMN09847813,8,8,True,0.9102389078498293
CA105,BCH-SA-11,SAMN02649769,SAMN09847814,8,30,False,0.41302186878727637
CA105,BCH-SA-12,SAMN02649769,SAMN09847815,8,5,False,0.6391537544696066
CA105,BCH-SA-13,SAMN02649769,SAMN09847816,8,8,True,0.9187183811129849
CA105,BCH-SA-14,SAMN02649769,SAMN09847817,8,72,False,0.6643712574850299
CA105,BCH-SA-15,SAMN02649769,SAMN09847818,8,8,True,0.9127334465195246
CA105,CFBREBSa101,SAMN02649769,SAMN09847819,8,5,False,0.6302472685451409
CA105,CFBREBSa102,SAMN02649769,SAMN09847820,8,5,False,0.6299597469810235
CA105,CFBREBSa103,SAMN02649769,SAMN09847821,8,8,True,0.8663461538461539
CA105,CFBREBSa104,SAMN02649769,SAMN09847822,8,5,False,0.6297786720321932
CA105,CFBRSa26,SAMN02649769,SAMN09847823,8,5,False,0.629129560471129
CA105,CFBRSa48,SAMN02649769,SAMN09847824,8,5,False,0.6449598572702944
CA105,CFBREBSa105,SAMN02649769,SAMN09847825,8,5,False,0.6295434719395173
CA105,CFBREBSa108,SAMN02649769,SAMN09847826,8,5,False,0.6332270223253117
CA105,CFBREBSa110,SAMN02649769,SAMN09847827,8,5,False,0.6331206496519721
CA105,CFBREBSa112,SAMN02649769,SAMN09847828,8,5,False,0.6329370832125254
CA105,CFBREBSa114,SAMN02649769,SAMN09847829,8,5,False,0.6331206496519721
CA105,CFBRSa47,SAMN02649769,SAMN09847830,8,5,False,0.633516961438098
CA105,CFBRSa49,SAMN02649769,SAMN09847831,8,8,True,0.9736120630568883
CA105,CFBRSa03,SAMN02649769,SAMN09847832,8,5,False,0.652264600715137
CA105,CFBRSa50,SAMN02649769,SAMN09847833,8,5,False,0.6403405754550793
CA105,CFBRSa25,SAMN02649769,SAMN09847834,8,5,False,0.6387525267109443
CA105,CFBRSa30,SAMN02649769,SAMN09847835,8,5,False,0.6382042253521126
CA105,CFBRSa04,SAMN02649769,SAMN09847836,8,5,False,0.6421021726365238
CA105,CFBRSa51,SAMN02649769,SAMN09847837,8,5,False,0.6369578134284016
CA105,CFBRSa66A,SAMN02649769,SAMN09847838,8,5,False,0.6330726904141326
CA105,CFBRSa66B,SAMN02649769,SAMN09847839,8,5,False,0.6330726904141326
CA105,CFBRSa21,SAMN02649769,SAMN09847840,8,5,False,0.6424825174825175
CA105,CFBRSa05,SAMN02649769,SAMN09847841,8,8,True,0.9062710721510452
CA105,CFBRSa22,SAMN02649769,SAMN09847842,8,5,False,0.6358974358974359
CA105,CFBRSa70,SAMN02649769,SAMN09847843,8,5,False,0.6439821693907876
CA105,CFBRSa06,SAMN02649769,SAMN09847844,8,30,False,0.40602055800293685
CA105,CFBRSa27,SAMN02649769,SAMN09847845,8,5,False,0.6410557184750734
CA105,CFBRSa23,SAMN02649769,SAMN09847846,8,5,False,0.6428361282730215
CA105,CFBRSa74,SAMN02649769,SAMN09847847,8,5,False,0.6400924321201618
CA105,CFBRSa28,SAMN02649769,SAMN09847848,8,1,False,0.6435672514619883
CA105,CFBRSa24,SAMN02649769,SAMN09847849,8,5,False,0.645067133683596
CA105,CFBRSa07,SAMN02649769,SAMN09847850,8,5,False,0.6395247754274124
CA105,CFBREBSa116,SAMN02649769,SAMN09847851,8,5,False,0.6237510705109905
CA105,CFBREBSa117,SAMN02649769,SAMN09847852,8,97,False,0.6559714795008913
CA105,CFBREBSa118,SAMN02649769,SAMN09847853,8,5,False,0.6277665995975855
CA105,CFBREBSa119,SAMN02649769,SAMN09847854,8,30,False,0.4192269573835481
CA105,CFBREBSa121,SAMN02649769,SAMN09847855,8,8,True,0.9847328244274809
CA105,CFBRSa29,SAMN02649769,SAMN09847856,8,8,True,0.9777777777777777
CA105,CFBREBSa122,SAMN02649769,SAMN09847857,8,30,False,0.42027902341803686
CA105,CFBREBSa123,SAMN02649769,SAMN09847858,8,5,False,0.6425007337833871
CA105,CFBREBSa125,SAMN02649769,SAMN09847859,8,8,True,0.9689313758962103
CA105,CFBREBSa126,SAMN02649769,SAMN09847860,8,8,True,0.9257745999319033
CA105,CFBREBSa127,SAMN02649769,SAMN09847861,8,8,True,0.967107494065785
CA105,CFBREBSa129,SAMN02649769,SAMN09847862,8,8,True,0.9927209705372617
CA105,CFBREBSa130,SAMN02649769,SAMN09847863,8,8,True,0.9940992710864284
CA105,CFBREBSa131,SAMN02649769,SAMN09847864,8,45,False,0.396356474643033
CA105,CFBREBSa133,SAMN02649769,SAMN09847865,8,8,True,0.9913434903047091
CA105,CFBREBSa135,SAMN02649769,SAMN09847866,8,8,True,0.9003702457085156
CA105,CFBREBSa138,SAMN02649769,SAMN09847867,8,8,True,0.8946840521564694
CA11,CA39,SAMN02649770,SAMN02649771,5,5,True,0.932035519125683
CA11,CA436,SAMN02649770,SAMN02649772,5,5,True,0.9485869935308138
CA11,CA544,SAMN02649770,SAMN02649773,5,5,True,0.9653725078698846
CA11,CA545,SAMN02649770,SAMN02649774,5,5,True,0.9463019250253293
CA11,CA598,SAMN02649770,SAMN02649775,5,5,True,0.9389956184698348
CA11,CA9,SAMN02649770,SAMN02649776,5,5,True,0.9366655255049641
CA11,GA12,SAMN02649770,SAMN02649777,5,5,True,0.9710296684118673
CA11,GA15,SAMN02649770,SAMN02649778,5,8,False,0.6270898271465004
CA11,GA231,SAMN02649770,SAMN02649779,5,8,False,0.6276413478012565
CA11,GA984,SAMN02649770,SAMN02649780,5,5,True,0.9373930892918235
CA11,MN055,SAMN02649770,SAMN02649781,5,5,True,0.9235175202156334
CA11,MN105,SAMN02649770,SAMN02649782,5,5,True,0.9335357624831309
CA11,NY224,SAMN02649770,SAMN02649783,5,5,True,0.9531463748290013
CA11,NY341,SAMN02649770,SAMN02649784,5,5,True,0.9444067796610169
CA11,NY356,SAMN02649770,SAMN02649785,5,5,True,0.9487004103967168
CA11,NY360,SAMN02649770,SAMN02649786,5,5,True,0.9538145740677386
CA11,NY417,SAMN02649770,SAMN02649787,5,5,True,0.9482288828337875
CA11,NY439,SAMN02649770,SAMN02649788,5,5,True,0.9446519524617997
CA11,NY593,SAMN02649770,SAMN02649789,5,5,True,0.9413351314902225
CA11,SR1287,SAMN02649770,SAMN02649790,5,8,False,0.6201963534361852
